"lat":1.277621,"lng":103.831628,"gym_name":"Compass and rising sun"
"lat":1.278374,"lng":103.851132,"gym_name":"Dancing Fountain @Tower 2"
"lat":1.295355,"lng":103.851709,"gym_name":"Chijmes"
"lat":1.302512,"lng":103.829783,"gym_name":"Patterson Lodge Rings"
"lat":1.309153,"lng":103.864226,"gym_name":"Tai Pei Buddhist Centre"
"lat":1.279058,"lng":103.862826,"gym_name":"Horse Behind Bush"
"lat":1.282004,"lng":103.848767,"gym_name":"Telok Ayer MRT Station"
"lat":1.291204,"lng":103.854252,"gym_name":"Tan Kim Seng Fountain"
"lat":1.297707,"lng":103.881005,"gym_name":"Stone Lion Water Feature @SSC"
"lat":1.297205,"lng":103.872655,"gym_name":"Pebble Bay Fountain"
"lat":1.300487,"lng":103.874977,"gym_name":"Singapore Indoor Stadium"
"lat":1.307284,"lng":103.88444,"gym_name":""
"lat":1.297387,"lng":103.875166,"gym_name":"Camelot By The Water Statue"
"lat":1.313706,"lng":103.862933,"gym_name":""
"lat":1.314566,"lng":103.863352,"gym_name":"Singapore Post Office"
"lat":1.301771,"lng":103.886372,"gym_name":"Katong Swimming Pool"
"lat":1.313043,"lng":103.883905,"gym_name":"The Buddhist Library"
"lat":1.297172,"lng":103.881024,"gym_name":"Koi Pond and Fountain"
"lat":1.310649,"lng":103.880836,"gym_name":"Singapore Soka Association"
"lat":1.304565,"lng":103.859819,"gym_name":"Let's Play Hide and Seek"
"lat":1.319281,"lng":103.884876,"gym_name":"Aljunied Crescent Playground 1"
"lat":1.318634,"lng":103.876962,"gym_name":"God Of The Well Temple"
"lat":1.298045,"lng":103.885959,"gym_name":""
"lat":1.305999,"lng":103.874649,"gym_name":"Skate Park@ Sports Hub"
"lat":1.316396,"lng":103.882593,"gym_name":"Aljunied MRT Station"
"lat":1.308557,"lng":103.886677,"gym_name":"Old Airport Playground"
"lat":1.313975,"lng":103.885983,"gym_name":"Khadijah Mosque"
"lat":1.31401,"lng":103.889511,"gym_name":"Big Face Temple"
"lat":1.31379,"lng":103.889098,"gym_name":"Child's Play"
"lat":1.312293,"lng":103.874082,"gym_name":"Pavilion by the Road"
"lat":1.293499,"lng":103.871904,"gym_name":"Engreen Patch Stand"
"lat":1.306565,"lng":103.862652,"gym_name":"Immigration and Checkpoints Authority"
"lat":1.320601,"lng":103.888255,"gym_name":"Geylang East Swimming Complex"
"lat":1.322647,"lng":103.887249,"gym_name":"Training Ground"
"lat":1.323434,"lng":103.885213,"gym_name":"89 Circuit Road Market"
"lat":1.309394,"lng":103.89439,"gym_name":"Di Tanjong Katong"
"lat":1.306695,"lng":103.895507,"gym_name":"Intricate Decorations"
"lat":1.307158,"lng":103.89544,"gym_name":""
"lat":1.313216,"lng":103.859774,"gym_name":"Kam Leng Hotel"
"lat":1.301472,"lng":103.872727,"gym_name":"Water Sports Centre Observation Tower"
"lat":1.307174,"lng":103.883062,"gym_name":""
"lat":1.303546,"lng":103.86084,"gym_name":"Madrasah Alsagoff Al-Arabiah"
"lat":1.32137,"lng":103.871337,"gym_name":"Geylang Bahru MRT Station "
"lat":1.320171,"lng":103.884557,"gym_name":""
"lat":1.29787,"lng":103.886189,"gym_name":"Katong Park"
"lat":1.300558,"lng":103.891526,"gym_name":"Sing Hoe Hotel"
"lat":1.304929,"lng":103.872639,"gym_name":"OCBC Aquatic Centre"
"lat":1.306694,"lng":103.888395,"gym_name":"Brontosaurus Egg"
"lat":1.323769,"lng":103.874922,"gym_name":"Solaris Main Entrance"
"lat":1.319634,"lng":103.885543,"gym_name":"Aljunied Crescent Mini Garden"
"lat":1.3005,"lng":103.884364,"gym_name":"Katong Community Centre"
"lat":1.300347,"lng":103.900753,"gym_name":"Amber Town Hall"
"lat":1.30347,"lng":103.900604,"gym_name":"Katong Shopping Centre"
"lat":1.297901,"lng":103.901075,"gym_name":"Colorful Trees"
"lat":1.311779,"lng":103.901825,"gym_name":"Marine Parade Christian Centre"
"lat":1.305799,"lng":103.904554,"gym_name":""
"lat":1.305659,"lng":103.904873,"gym_name":"Rooftop Playground Katong i12 Mall"
"lat":1.307077,"lng":103.906765,"gym_name":"Church of the Holy Family"
"lat":1.301994,"lng":103.907765,"gym_name":"Octopus"
"lat":1.301574,"lng":103.905414,"gym_name":""
"lat":1.302387,"lng":103.909883,"gym_name":"Red Key of Time"
